1728563741.27715	123541.2	43548.05	77.8373597	40.4777765	2580.345	1	60.56	54665.0574	54691.7535	22041.1171875	-9954.8671875	50297.609375	3.213	3.262	-136.357	4991
1728563741.37713	123541.3	43548.15	77.8373593	40.4777767	2580.3352	1	60.57	54664.5729	54692.0168	23557.390625	-7188.6118164	50087.5507813	2.779	3.075	-131.684	4992
1728563741.47778	123541.4	43548.25	77.8373589	40.4777768	2580.3188	1	60.65	54663.7743	54692.6903	25035.0566406	-4920.4296875	49762.1210938	1.9	2.609	-122.42	4993
1728563741.57776	123541.5	43548.35	77.8373584	40.4777769	2580.2942	1	60.73	54663.5954	54693.0938	26321.6933594	-1488.3583984	49206.3632813	0.846	2.186	-112.892	4994
1728563741.67769	123541.6	43548.45	77.837358	40.4777769	2580.2681	1	60.67	54663.9516	54693.4822	27085.1152344	1490.5495605	48788.328125	0.335	2.048	-108.323	4995
1728563741.78506	123541.7	43548.55	77.8373576	40.4777769	2580.2466	1	60.75	54663.5964	54693.0761	27273.1835938	4469.6401367	48487.5546875	0.176	1.56	-99.124	4996
1728563741.885	123541.8	43548.65	77.8373572	40.4777769	2580.2314	1	60.69	54663.0757	54692.7811	26786.9140625	7324.0678711	48384.1914063	0.269	1.236	-94.517	4997
1728563741.98567	123541.9	43548.75	77.8373568	40.4777771	2580.2273	1	60.63	54663.4468	54691.1141	25886.3632813	9636.1015625	48438.4960938	0.472	0.648	-84.939	4998
1728563742.08565	123542.0	43548.85	77.8373564	40.4777774	2580.2322	1	60.72	54663.3687	54690.3157	23929.4199219	12712.3662109	48671.2617188	0.632	0.483	-80.293	4999
1728563742.18557	123542.1	43548.95	77.837356	40.4777776	2580.2351	1	60.55	54663.8757	54688.0348	21793.375	15260.0517578	48875.921875	1.005	0.066	-71.018	5000
1728563742.28314	123542.2	43549.05	77.8373556	40.4777777	2580.2373	1	60.54	54664.9165	54686.9066	19501.8261719	17163.0566406	49011.1484375	0.796	0	-66.026	5001
1728563742.38309	123542.3	43549.15	77.8373553	40.4777778	2580.2427	1	60.69	54665.3455	54684.6474	16938.328125	19671.3574219	48956.078125	0.181	0.253	-56.767	5002
1728563742.48387	123542.4	43549.25	77.837355	40.4777777	2580.248	1	60.83	54666.1762	54682.6663	15086.4042969	21688.1484375	48763.71875	-0.165	0.461	-52.138	5003
1728563742.58382	123542.5	43549.35	77.8373547	40.4777776	2580.2585	1	60.76	54666.9184	54681.8219	12748.2568359	23548.9921875	48492.5273438	-0.664	0.615	-47.464	5004
1728563742.6838	123542.6	43549.45	77.8373545	40.4777774	2580.2664	1	60.7	54667.9971	54679.8051	10124.2568359	24791.3652344	48302.3085938	-0.664	0.615	-47.464	5005
1728563742.78371	123542.7	43549.55	77.8373542	40.4777772	2580.2688	1	60.93	54669.7699	54679.1138	7226.0673828	26027.7792969	48182.3984375	-0.664	0.615	-47.464	5006
1728563742.88366	123542.8	43549.65	77.8373541	40.477777	2580.2695	1	60.95	54671.7897	54677.4811	4087.3208008	26347.1738281	48272.1367188	-0.664	0.615	-47.464	5007
1728563742.98364	123542.9	43549.75	77.8373539	40.4777769	2580.2732	1	60.97	54672.9397	54676.7111	815.9898682	26165.7324219	48441.2148438	-2.136	1.236	-16.277	5008
1728563743.081	123543.0	43549.85	77.8373538	40.4777767	2580.2793	1	60.87	54675.4211	54675.6715	-2566.8581543	25592.2226563	48677.234375	-1.774	1.197	-6.37	5009
1728563743.18094	123543.1	43549.95	77.8373538	40.4777765	2580.2888	1	60.86	54676.6707	54675.2683	-5912.0756836	24519.6386719	48782.4296875	-1.746	1.4	-1.609	5010
1728563743.28089	123543.2	43550.05	77.8373538	40.4777762	2580.2974	1	60.83	54679.5952	54674.4876	-9100.8046875	23208.4199219	48847.4101563	-1.889	1.73	7.908	5011
1728563743.38083	123543.3	43550.15	77.8373539	40.477776	2580.2974	1	60.85	54681.2191	54673.7834	-11874.0742188	22055.3945313	48845.8789063	-1.889	2.015	12.653	5012
1728563743.48078	123543.4	43550.25	77.8373541	40.4777757	2580.2864	1	61.01	54683.4825	54673.5267	-14213.5263672	20464.765625	48869.328125	-2.312	3.042	22.455	5013
1728563743.57935	123543.5	43550.35	77.8373544	40.4777755	2580.2717	1	61	54684.413	54673.3779	-16315.6835938	18404.3164063	48863.0859375	-2.422	3.613	27.211	5014
1728563743.67927	123543.6	43550.45	77.8373547	40.4777752	2580.2593	1	60.98	54686.9018	54673.374	-18455.6328125	16063.3007813	48871.5664063	-1.609	3.97	36.761	5015
1728563743.78007	123543.7	43550.55	77.837355	40.4777749	2580.2534	1	60.98	54689.7119	54673.2533	-20542.703125	13849.6425781	48822.1640625	-1.258	4.19	41.912	5016
1728563743.87771	123543.8	43550.65	77.8373553	40.4777747	2580.26	1	60.91	54690.3327	54673.4592	-22386.5898438	10803.4179688	48743.1875	-0.434	4.025	51.385	5017
1728563743.97762	123543.9	43550.75	77.8373557	40.4777745	2580.2661	1	60.85	54692.8763	54673.9854	-23731.4824219	7082.6577148	48675.9296875	0.027	3.981	56.059	5018
1728563744.07829	123544.0	43550.85	77.8373561	40.4777744	2580.2688	1	60.74	54693.5601	54674.6438	-24584.6933594	4351.581543	48626.6367188	0.593	4.113	65.691	5019
1728563744.18587	123544.1	43550.95	77.8373566	40.4777744	2580.2632	1	60.85	54693.8199	54675.0979	-24994.7089844	1258.4486084	48595.7617188	0.813	4.366	70.326	5020
1728563744.28578	123544.2	43551.05	77.8373571	40.4777744	2580.2612	1	60.91	54694.1558	54675.8158	-24930.0332031	-2143.5571289	48605.2578125	1.444	5.019	79.596	5021
1728563744.37648	123544.3	43551.15	77.8373578	40.4777744	2580.2651	1	60.91	54692.9819	54676.1395	-24454.4550781	-4784.8134766	48747.2382813	1.521	5.442	84.247	5022
1728563744.48342	123544.4	43551.25	77.8373584	40.4777746	2580.2705	1	60.91	54690.7558	54676.8633	-23319.1855469	-6971.0800781	48987.6015625	1.389	6.068	93.978	5023
1728563744.58336	123544.5	43551.35	77.8373589	40.4777748	2580.2747	1	60.88	54689.1717	54677.5734	-21449.6582031	-9573.3798828	49450.703125	0.983	6.244	98.723	5024
